Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni	Match
CarCat_2	CarCat	0.1X	CarLac	12	20337	0.05897095680377414	-2.571428571428572	0.005063995274695324	No	FALSE
CarCat_2	CarCat	0.05X	CarPalm	15	10533	0.1422070534698521	1.666666666666667	0.047790352272814675	No	FALSE
CarCat_2	CarCat	0.1X	CarMyr	17	20332	0.0835421888053467	-1.1428571428571432	0.1265489544735577	No	FALSE
CarCat_2	CarCat	0.1X	CarOva	18	20331	0.08845643520566121	-0.8571428571428568	0.19568296915377614	No	FALSE
CarCat_2	CarCat	0.1X	CarAqu	21	20328	0.10319917440660474	0	0.5	No	FALSE
CarCat_2	CarCat	0.1X	CarIll	21	20328	0.10319917440660474	0	0.5	No	FALSE
CarCat_2	CarCat	0.1X	CarPalm	23	20326	0.11302766720723376	0.5714285714285716	0.2838545830986762	No	FALSE
CarCat_2	CarCat	0.25X	CarLac	26	49325	0.052683836193795464	-1.575757575757576	0.057540841449670546	No	FALSE
CarCat_2	CarCat	0.1X	CarCor	28	20321	0.13759889920880633	2.0000000000000013	0.022750131948179143	No	FALSE
CarCat_2	CarCat	0.25X	CarOva	31	49320	0.06281534315414074	-1.272727272727273	0.10155741817156573	No	FALSE
CarCat_2	CarCat	0.5X	CarOva	37	91018	0.04063478117621218	-4.849999999999995	6.173073720092112e-7	No	FALSE
CarCat_2	CarCat	0.5X	CarLac	40	91015	0.043929493163472624	-4.549999999999996	2.682295779638901e-6	No	FALSE
