Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
xio_1	xio	0.5X	CarCat	331	9286	3.4418217739419776	0.36257309941520416	0.35846190415380164	No
xio_1	xio	0.25X	CarOva	391	4905	7.382930513595166	2.585365853658536	0.004863785880375831	Yes
xio_1	xio	0.025X	CarIll	446	139	76.23931623931624	86	0	Yes
xio_1	xio	0.5X	CarOva	677	8940	7.03961734428616	4.409356725146197	5.183906183356929e-6	Yes
xio_1	xio	0.05X	CarIll	885	273	76.42487046632125	51.18181818181818	0	Yes
xio_1	xio	0.1X	CarIll	1776	483	78.61885790172643	68.20000000000002	0	Yes
xio_1	xio	0.25X	CarIll	4076	1220	76.96374622356495	47.52439024390243	0	Yes
xio_1	xio	0.5X	CarIll	7433	2184	77.29021524383903	83.42690058479529	0	Yes
xlc_1	xlc	0.01X	CarLac	0	429	0	-1.4000000000000001	0.08075665923377102	No
xlc_1	xlc	0.025X	CarLac	1	1180	0.0846740050804403	-1.0666666666666669	0.14306119219550903	No
xlc_1	xlc	0.01X	CarCor	1	428	0.2331002331002331	-1	0.15865525393145705	No
xlc_1	xlc	0.01X	CarOva	1	428	0.2331002331002331	-1	0.15865525393145705	No
xlc_1	xlc	0.025X	CarOva	2	1179	0.1693480101608806	-0.9333333333333333	0.1753239448522295	No
xlc_1	xlc	0.01X	CarMyr	3	426	0.6993006993006993	-0.19999999999999993	0.420740290560897	No
xlc_1	xlc	0.025X	CarMyr	4	1177	0.3386960203217612	-0.6666666666666666	0.2524925375469229	No
xlc_1	xlc	0.01X	CarCat	4	425	0.9324009324009324	0.2000000000000001	0.4207402905608969	No
xlc_1	xlc	0.01X	CarPalm	4	425	0.9324009324009324	0.2000000000000001	0.4207402905608969	No
xlc_1	xlc	0.05X	CarOva	4	2284	0.17482517482517482	-1.1025641025641026	0.13510825325398565	No
xlc_1	xlc	0.025X	CarCor	5	1176	0.42337002540220153	-0.5333333333333334	0.2969014286038512	No
xlc_1	xlc	0.05X	CarLac	8	2280	0.34965034965034963	-0.8974358974358975	0.1847431823097709	No
xlc_1	xlc	0.05X	CarMyr	8	2280	0.34965034965034963	-0.8974358974358975	0.1847431823097709	No
xlc_1	xlc	0.1X	CarOva	12	4304	0.27803521779425394	-1.0363636363636364	0.1500162641422802	No
xlc_1	xlc	0.025X	CarPalm	13	1168	1.100762066045724	0.5333333333333334	0.2969014286038512	No
xlc_1	xlc	0.1X	CarLac	14	4302	0.3243744207599629	-0.9636363636363635	0.1676141345036933	No
xlc_1	xlc	0.05X	CarCor	15	2273	0.6555944055944056	-0.5384615384615384	0.295129225657386	No
xlc_1	xlc	0.1X	CarCor	20	4296	0.46339202965708987	-0.7454545454545454	0.22799849000761957	No
xlc_1	xlc	0.025X	CarCat	21	1160	1.7781541066892466	1.6	0.054799291699557974	No
xlc_1	xlc	0.25X	CarOva	28	10308	0.2708978328173375	-1.0155038759689923	0.15493284994108172	No
xlc_1	xlc	0.1X	CarMyr	30	4286	0.6950880444856349	-0.3818181818181817	0.3512981157800156	No
xlc_1	xlc	0.25X	CarLac	30	10306	0.29024767801857587	-0.9844961240310077	0.1624358181360009	No
xlc_1	xlc	0.5X	CarOva	32	18669	0.17111384417945566	-1.1155778894472361	0.13230143042471254	No
xlc_1	xlc	0.05X	CarPalm	36	2252	1.5734265734265735	0.5384615384615384	0.295129225657386	No
xlc_1	xlc	0.5X	CarLac	42	18659	0.22458692048553555	-1.015075376884422	0.15503494900490786	No
xlc_1	xlc	0.25X	CarMyr	43	10293	0.4160216718266254	-0.7829457364341085	0.21682948900474058	No
xlc_1	xlc	0.1X	CarPalm	51	4265	1.1816496756255792	0.38181818181818183	0.3512981157800155	No
xlc_1	xlc	0.05X	CarCat	53	2235	2.3164335664335662	1.41025641025641	0.0792319922695047	No
xlc_1	xlc	0.25X	CarCor	60	10276	0.5804953560371517	-0.5193798449612403	0.3017479417717706	No
xlc_1	xlc	0.1X	CarCat	72	4244	1.6682113067655238	1.1454545454545457	0.12601045717525688	No
xlc_1	xlc	0.01X	CarAqu	84	345	19.58041958041958	32.2	8.824518694239594e-228	Yes
xlc_1	xlc	0.5X	CarMyr	90	18611	0.481257686754719	-0.5326633165829145	0.29713333192343905	No
xlc_1	xlc	0.5X	CarCor	104	18597	0.5561199935832308	-0.39195979899497485	0.34754395882395617	No
